,entity 1,entity 2,entity 3,entity 4,entity 5,entity 6,entity 7,entity 8,entity 9,entity 10,entity 11,entity 12,entity 13
", ABI Growler is a two-rowed malt that exhibits high yield potential under irrigation, although the three-year yield and test weight averages were lower than the average other two-rowed malt barley in these trials (Table 49).","{'start': 2, 'end': 13, 'label': 'CVAR'}","{'start': 19, 'end': 28, 'label': 'TRAT'}","{'start': 29, 'end': 33, 'label': 'TRAT'}","{'start': 53, 'end': 68, 'label': 'TRAT'}","{'start': 111, 'end': 116, 'label': 'TRAT'}","{'start': 121, 'end': 132, 'label': 'TRAT'}","{'start': 176, 'end': 185, 'label': 'TRAT'}","{'start': 186, 'end': 190, 'label': 'TRAT'}","{'start': 191, 'end': 197, 'label': 'CROP'}",,,,
AAC Connect has malt quality similar to AC Metcalfe.,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 16, 'end': 28, 'label': 'TRAT'}","{'start': 40, 'end': 51, 'label': 'CVAR'}",,,,,,,,,,
"AAC Synergy  released in 2015 by Agriculture Canada,","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 25, 'end': 29, 'label': 'DATE'}","{'start': 33, 'end': 51, 'label': 'ORG'}",,,,,,,,,,
AAC Synergy also expressed high levels of resistance to foliar pathogens.,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 42, 'end': 52, 'label': 'PPTD'}","{'start': 56, 'end': 72, 'label': 'PATH'}",,,,,,,,,,
AAC Synergy is a two-rowed malt barley in the fifth year of testing in these trials.,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 17, 'end': 26, 'label': 'TRAT'}","{'start': 27, 'end': 31, 'label': 'TRAT'}","{'start': 32, 'end': 38, 'label': 'CROP'}",,,,,,,,,
ABI Eagle (2B11-4949),"{'start': 0, 'end': 9, 'label': 'CVAR'}","{'start': 11, 'end': 20, 'label': 'ALAS'}",,,,,,,,,,,
"ABI Eagle should replace Merit 57, having mid-level protein, with heading date two daylater than Voyager, two  three inches shorter, and plumps were a little lower.","{'start': 0, 'end': 9, 'label': 'CVAR'}","{'start': 25, 'end': 33, 'label': 'CVAR'}","{'start': 52, 'end': 59, 'label': 'TRAT'}","{'start': 66, 'end': 78, 'label': 'TRAT'}","{'start': 97, 'end': 104, 'label': 'CVAR'}","{'start': 124, 'end': 131, 'label': 'TRAT'}","{'start': 137, 'end': 143, 'label': 'TRAT'}",,,,,,
ABI Growler (2B09-3425)  a 2015 release from Busch Agricultural Resources,"{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 13, 'end': 22, 'label': 'ALAS'}","{'start': 27, 'end': 31, 'label': 'DATE'}","{'start': 45, 'end': 73, 'label': 'ORG'}",,,,,,,,,
"ABI Growler may produce more thins under high temperatures, which can be reduced by increasing irrigation.","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 29, 'end': 34, 'label': 'TRAT'}",,,,,,,,,,,
"ABI Voyager (B3719)  a 2011 release from Busch Agricultural Resources, Voyager consistently out yields many other two-rowed malt varieties in the production area.","{'start': 0, 'end': 11, 'label': 'CVAR'}","{'start': 13, 'end': 18, 'label': 'ALAS'}","{'start': 23, 'end': 27, 'label': 'DATE'}","{'start': 41, 'end': 69, 'label': 'ORG'}","{'start': 71, 'end': 78, 'label': 'CVAR'}","{'start': 114, 'end': 123, 'label': 'TRAT'}","{'start': 124, 'end': 128, 'label': 'TRAT'}",,,,,,
